rom_path,crc,header_mapper,header_submapper,mapper,submapper,mapper_source,has_autorun,is_valid,parse_error
0/Fire Pheonix (Exerion Hack).nes,3A3CD775,0,,0,0,rom_db_override,0,1,
0/Flame Demo (PD).nes,497B9D15,0,,0,,header,0,1,
0/Flappy (J) [p1].nes,0E197A5E,0,,0,0,rom_db_override,0,1,
0/Frank's 1st (Final) (SMB1 Hack).nes,2B13A264,0,,0,,header,0,1,
0/Frank's 2nd (Final) (SMB1 Hack).nes,38B3C1A5,0,,0,,header,0,1,
0/Freddy Vs Jason (SMB1 Hack).nes,125305A8,0,,0,,header,0,1,
0/GK-47-ini1 (Menu).nes,0E60C9EA,0,,0,,header,0,1,
0/Galaga (J) [T-Port].nes,5C60F6EB,0,,0,,header,0,1,
0/Galaga (J) [h1].nes,1A8708C0,0,,0,,header,0,1,
0/Galaga (J) [p1].nes,F8DFDC1E,0,,0,0,rom_db_override,0,1,
0/Galaga (U).nes,1DB07C0D,0,,0,0,rom_db_override,0,1,
0/Galaga Beer Wars (Hack).nes,9EC4C503,0,,0,,header,0,1,
0/Galaxian (J) [p1].nes,D0502E2D,0,,0,0,rom_db_override,0,1,
0/Galg (J) [p1].nes,1347D6C9,0,,0,0,rom_db_override,0,1,
0/Game Genie (PD).nes,2E4CCF46,0,,0,0,rom_db_override,0,1,
0/Game Genie (Unl).nes,2E4CCF46,0,,0,0,rom_db_override,0,1,
0/Game Genie Decoder (PD).nes,B1E84E5B,0,,0,,header,0,1,
0/Game II (PD).nes,65D58246,0,,0,,header,0,1,
0/Game II (Version B) (PD).nes,903B2B17,0,,0,,header,0,1,
0/Geimos (J) [p1].nes,CE94F92F,0,,0,0,rom_db_override,0,1,
0/Giabbit (SMB1 Hack).nes,E8969962,0,,0,,header,0,1,
0/Glass Bros (SMB1 Hack).nes,4CD3FA31,0,,0,,header,0,1,
0/Gold (JU) [p1].nes,BD4BA343,0,,0,0,rom_db_override,0,1,
0/Golf (E).nes,565B1BDB,0,,0,0,rom_db_override,0,1,
0/Golf (JU).nes,5C9063E0,0,,0,0,rom_db_override,0,1,
0/Golf (PC10).nes,E7D2C49D,0,,0,0,rom_db_override,0,1,
0/Gomoku Narabe (J) [p1].nes,0BAA5AB6,0,,0,0,rom_db_override,0,1,
